"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 02 16:56:26 GMT 2023","Mon Oct 02 16:56:28 GMT 2023","2320","chromium","","","","","Login user",""
"passed","Mon Oct 02 16:56:26 GMT 2023","Mon Oct 02 16:56:28 GMT 2023","2371","chromium","","","","","Register a new user",""
"passed","Mon Oct 02 16:56:26 GMT 2023","Mon Oct 02 16:56:28 GMT 2023","2141","chromium","","","","","Logout user",""
